,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_identity_verified,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_l30d,review_scores_rating,instant_bookable,reviews_per_month,name_length,description_length,host_about_length,verifications_length,amenities_length,host_since_days,first_reviews_days,last_review_days,price_per_accommodates,has_Hair_dryer,flag
13490,0.95,0.72,0.0,29.0,1.0,40.864940000000004,-73.92334,7.0,2.0,4.0,205.0,3.0,1125.0,57.0,0.0,90.0,0.0,1.23,7.0,90.0,1.0,8.0,21.0,2501.0,1392.0,343.0,29.285714285714285,1.0,1
1767,0.97,0.69,0.0,3.0,0.0,40.80533,-73.94665,5.0,1.0,2.0,82.0,1.0,1125.0,241.0,0.0,94.0,0.0,4.57,5.0,153.0,5.0,3.0,36.0,2746.0,1581.0,34.0,16.4,1.0,1
6568,1.0,0.93,1.0,2.0,1.0,40.75743,-73.92366,7.0,2.0,2.0,99.0,30.0,1125.0,216.0,0.0,99.0,1.0,3.45,10.0,170.0,34.0,5.0,42.0,2009.0,1875.0,48.0,14.142857142857142,1.0,1
16613,1.0,1.0,1.0,1.0,1.0,40.689479999999996,-73.92083000000001,1.0,1.0,1.0,44.0,3.0,1125.0,29.0,0.0,97.0,0.0,0.77,7.0,130.0,28.0,7.0,31.0,2684.0,1126.0,113.0,44.0,1.0,1
960,0.87,0.48,0.0,51.0,1.0,40.74203,-73.98295,3.0,1.2359948829062795,1.0,100.0,30.0,365.0,2.0,0.0,100.0,0.0,0.03,11.0,84.0,48.0,8.0,24.0,3350.0,2197.0,951.0,33.333333333333336,0.0,0
11329,0.96,0.92,1.0,125.0,0.0,40.74065,-73.98089,2.0,1.0,1.0,79.0,30.0,365.0,11.0,0.0,87.0,0.0,0.25,5.0,44.0,93.0,3.0,25.0,1800.0,1308.0,32.0,39.5,1.0,1
6003,1.0,0.92,1.0,2.0,1.0,40.6942,-73.92024,2.0,1.0,2.0,113.0,28.0,365.0,21.0,0.0,95.0,0.0,0.31,5.0,153.0,20.0,8.0,36.0,2063.0,2034.0,397.0,56.5,1.0,1
8858,1.0,0.97,1.0,8.0,0.0,40.60674,-73.97076,2.0,1.0,0.0,59.0,1.0,365.0,8.0,0.0,88.0,0.0,0.14,7.0,118.0,70.0,4.0,35.0,4535.0,1712.0,482.0,29.5,1.0,1
17621,1.0,1.0,1.0,2.0,1.0,40.663540000000005,-73.95169,2.0,1.0,1.0,75.0,2.0,14.0,78.0,0.0,97.0,0.0,2.16,1.0,175.0,30.0,6.0,21.0,1382.0,1082.0,354.0,37.5,1.0,1
32972,1.0,0.99,0.0,38.0,1.0,40.74825,-73.98895999999999,4.0,1.7661432330463072,3.0,77.0,1.0,1125.0,6.0,0.0,90.0,0.0,1.5,8.0,152.0,36.0,6.0,24.0,247.0,119.0,34.0,19.25,1.0,0
1735,1.0,0.71,0.0,3.0,1.0,40.69141,-73.94651999999999,2.0,1.0,1.0,75.0,2.0,1125.0,51.0,0.0,80.0,1.0,0.58,5.0,177.0,65.0,9.0,29.0,2760.0,2623.0,402.0,37.5,1.0,1
8604,0.73,0.74,0.0,31.0,1.0,40.74528,-73.97773000000001,5.0,2.0,2.0,87.0,30.0,365.0,4.0,0.0,75.0,0.0,0.07,5.0,102.0,43.0,3.0,24.0,1887.0,1600.0,826.0,17.4,1.0,1
28831,1.0,1.0,0.0,2.0,1.0,40.71222,-73.99585,2.0,1.0,1.1240664071225055,55.0,1.0,1125.0,6.0,0.0,87.0,0.0,0.44,6.0,164.0,12.0,7.0,15.0,418.0,412.0,135.0,27.5,1.0,0
2672,0.6,0.67,0.0,8.0,1.0,40.764790000000005,-73.98455,4.0,1.0,1.0,79.0,30.0,1125.0,12.0,0.0,93.0,0.0,0.16,8.0,69.0,33.0,4.0,27.0,3118.0,2295.0,308.0,19.75,1.0,1
16361,1.0,0.88,0.0,2.0,1.0,40.81033,-73.94119,7.0,3.0,3.0,699.0,3.0,1125.0,9.0,0.0,96.0,0.0,0.24,7.0,155.0,17.0,6.0,32.0,3756.0,1130.0,124.0,99.85714285714286,1.0,1
251,1.0,0.78,0.0,3.0,1.0,40.77944,-73.98567,2.0,1.0397226908155446,1.0,117.0,30.0,360.0,61.0,1.0,92.0,0.0,0.57,5.0,157.0,40.0,7.0,17.0,3114.0,3207.0,21.0,58.5,0.0,0
24155,1.0,0.25,0.0,0.0,1.0,40.68033,-73.98096,1.0,1.0,1.0,49.0,60.0,180.0,1.0,0.0,100.0,0.0,0.06,6.0,88.0,29.0,4.0,17.0,889.0,495.0,495.0,49.0,1.0,1
3543,0.87,0.48,0.0,51.0,1.0,40.73816,-73.98432,2.0,1.0,1.0,130.0,30.0,365.0,2.0,0.0,100.0,0.0,0.03,5.0,153.0,48.0,8.0,9.0,3350.0,2107.0,1925.0,65.0,0.0,1
13729,0.5,0.9,1.0,6.0,1.0,40.75761,-73.8134,2.0,1.0,1.0,52.0,31.0,90.0,151.0,0.0,96.0,0.0,3.25,8.0,161.0,1.0,7.0,25.0,1400.0,1392.0,91.0,26.0,1.0,1
20286,1.0,0.98,0.0,3.0,1.0,40.69877,-73.78459000000001,2.0,1.0,1.0,55.0,1.0,60.0,51.0,0.0,92.0,1.0,1.73,4.0,22.0,12.0,4.0,22.0,1963.0,882.0,48.0,27.5,1.0,1
6757,0.89,0.99,0.0,42.0,1.0,40.74947,-73.98257,6.0,3.0,3.0,250.0,90.0,365.0,3.0,0.0,90.0,0.0,0.05,4.0,165.0,15.0,4.0,12.0,3222.0,1711.0,1346.0,41.666666666666664,1.0,1
22562,0.88,0.75,0.0,1.0,0.0,40.791920000000005,-73.97078,2.0,1.0,1.0,90.0,30.0,1125.0,4.0,1.0,100.0,0.0,0.19,7.0,120.0,25.0,4.0,32.0,2700.0,628.0,10.0,45.0,0.0,1
20098,1.0,0.82,0.0,177.0,1.0,40.738929999999996,-73.92036999999999,2.0,1.0,1.0,29.0,30.0,1125.0,3.0,0.0,100.0,0.0,0.11,7.0,149.0,622.0,7.0,22.0,1320.0,853.0,208.0,14.5,1.0,1
14910,1.0,1.0,0.0,1.0,1.0,40.688629999999996,-73.9755,2.0,1.0,2.0,60.0,30.0,1125.0,7.0,0.0,100.0,0.0,0.16,8.0,87.0,84.0,7.0,16.0,3503.0,1304.0,342.0,30.0,0.0,1
20288,1.0,0.91,1.0,1.0,1.0,40.75355,-73.97169,2.0,1.0,1.0,160.0,30.0,90.0,20.0,1.0,98.0,1.0,0.76,7.0,174.0,18.0,6.0,61.0,3482.0,792.0,5.0,80.0,1.0,1
27613,1.0,1.0,1.0,1.0,1.0,40.66329,-73.94421,3.0,1.0,1.0,80.0,14.0,180.0,4.0,0.0,100.0,0.0,0.26,10.0,187.0,50.0,9.0,27.0,1849.0,466.0,422.0,26.666666666666668,1.0,1
27663,1.0,1.0,1.0,1.0,0.0,40.68189,-73.93086,4.0,2.0,2.0,100.0,5.0,31.0,10.0,0.0,96.0,0.0,0.68,7.0,130.0,34.0,2.0,26.0,929.0,443.0,31.0,25.0,1.0,1
11723,1.0,0.97,0.0,1.0,0.0,40.741279999999996,-73.92443,3.0,1.0,2.0,85.0,2.0,1125.0,171.0,2.0,97.0,1.0,3.17,8.0,176.0,48.0,5.0,44.0,2046.0,1615.0,10.0,28.333333333333332,1.0,1
20421,1.0,0.96,1.0,1.0,0.0,40.7368,-73.92588,1.0,1.0,1.0,35.0,30.0,1125.0,34.0,0.0,98.0,1.0,1.17,8.0,177.0,38.0,2.0,22.0,876.0,870.0,100.0,35.0,1.0,1
2446,1.0,1.0,1.0,3.0,0.0,40.709720000000004,-73.93864,3.0,1.0983992727134364,1.0,110.0,30.0,60.0,240.0,0.0,92.0,0.0,2.82,5.0,160.0,14.0,4.0,22.0,3005.0,2553.0,73.0,36.666666666666664,1.0,0
15869,1.0,0.0,0.0,1.0,1.0,40.67949,-73.94839,2.0,1.0,0.0,105.0,30.0,60.0,8.0,0.0,100.0,0.0,0.2,6.0,161.0,57.0,8.0,26.0,2542.0,1210.0,769.0,52.5,0.0,1
21590,1.0,0.99,0.0,1337.0,1.0,40.73837,-73.99675,2.0,1.0,1.0,287.0,30.0,1125.0,1.0,0.0,100.0,1.0,0.08,10.0,151.0,251.0,9.0,29.0,1512.0,370.0,370.0,143.5,1.0,1
14704,0.38,1.0,0.0,2.0,1.0,40.637,-73.89893000000001,4.0,2.0,3.0,200.0,3.0,30.0,8.0,0.0,100.0,1.0,0.19,8.0,169.0,23.0,6.0,31.0,1834.0,1257.0,489.0,50.0,1.0,1
35502,1.0,1.0,0.0,0.0,0.0,40.72529,-73.99381,2.0,1.0,1.0,85.0,5.0,60.0,5.0,3.0,88.0,1.0,3.57,6.0,50.0,40.0,2.0,28.0,63.0,41.0,13.0,42.5,1.0,1
1170,1.0,1.0,0.0,2.0,1.0,40.72591,-73.99452,6.0,3.0,5.0,425.0,30.0,90.0,55.0,0.0,94.0,1.0,0.62,6.0,173.0,84.0,5.0,37.0,2995.0,2674.0,330.0,70.83333333333333,1.0,1
24393,1.0,0.75,0.0,0.0,1.0,40.72399,-73.98906,2.0,1.0,1.0,140.0,30.0,1125.0,1.0,0.0,100.0,0.0,0.55,3.0,65.0,5.0,5.0,12.0,3679.0,54.0,54.0,70.0,1.0,1
20944,0.94,0.96,0.0,26.0,1.0,40.70048,-73.91977,2.0,1.0,1.0,33.0,30.0,365.0,3.0,0.0,60.0,1.0,0.14,6.0,155.0,136.0,6.0,27.0,870.0,643.0,460.0,16.5,1.0,1
30427,1.0,0.56,0.0,1.0,1.0,40.75593,-73.96876999999999,1.0,1.0,1.0,99.0,3.0,60.0,4.0,0.0,100.0,0.0,0.36,8.0,106.0,42.0,6.0,33.0,338.0,335.0,329.0,99.0,1.0,1
4075,0.89,0.99,0.0,42.0,1.0,40.73346,-73.98216,4.0,1.0,2.0,100.0,30.0,365.0,10.0,0.0,86.0,0.0,0.14,2.0,159.0,15.0,4.0,18.0,3222.0,2208.0,180.0,25.0,0.0,1
25592,1.0,0.99,1.0,4.0,1.0,40.67961,-73.95029,1.0,1.0,1.0,38.0,30.0,90.0,36.0,0.0,94.0,1.0,1.97,9.0,106.0,86.0,6.0,33.0,585.0,546.0,68.0,38.0,1.0,1
3287,1.0,0.96,1.0,2.0,1.0,40.76511,-73.99419,2.0,1.0,1.0,45.0,3.0,28.0,231.0,2.0,95.0,1.0,2.97,6.0,153.0,118.0,5.0,35.0,2545.0,2329.0,16.0,22.5,1.0,1
17783,0.9,0.96,0.0,14.0,1.0,40.75094,-73.86407,2.0,1.0,1.0,39.0,2.0,180.0,89.0,1.0,94.0,0.0,2.58,6.0,160.0,68.0,7.0,17.0,1250.0,1035.0,15.0,19.5,0.0,1
3783,1.0,0.5,0.0,0.0,1.0,40.73338,-73.9846,1.0,1.0,0.0,1000.0,1.0,1125.0,18.0,0.0,100.0,0.0,0.24,5.0,169.0,9.0,6.0,13.0,3097.0,2286.0,1860.0,1000.0,0.0,1
32258,0.89,0.99,0.0,42.0,1.0,40.766529999999996,-73.98646,4.0,1.0,2.0,120.0,30.0,365.0,2.0,0.0,60.0,1.0,0.77,6.0,156.0,15.0,4.0,31.0,3222.0,77.0,61.0,30.0,1.0,1
1624,0.0,0.08,0.0,0.0,1.0,40.76398,-73.9589,2.0,2.0,0.0,80.0,31.0,60.0,102.0,0.0,93.0,0.0,1.11,4.0,171.0,12.0,4.0,16.0,2921.0,2750.0,355.0,40.0,1.0,1
4002,0.5,0.84,0.0,1.0,1.0,40.84769,-73.93512,1.0,1.0,1.0,40.0,2.0,1125.0,54.0,0.0,96.0,0.0,0.73,4.0,168.0,149.0,5.0,27.0,2280.0,2225.0,159.0,40.0,1.0,1
32221,1.0,0.95,0.0,0.0,1.0,40.680479999999996,-73.99269,2.0,1.0,1.0,150.0,3.0,90.0,10.0,3.0,100.0,0.0,2.46,7.0,154.0,77.0,4.0,31.0,2310.0,121.0,3.0,75.0,1.0,1
27880,1.0,0.99,1.0,4.0,1.0,40.7569,-73.98965,5.0,2.0,4.0,156.0,1.0,1125.0,53.0,4.0,94.0,1.0,3.54,8.0,173.0,59.0,6.0,31.0,519.0,448.0,20.0,31.2,1.0,1
13571,1.0,1.0,1.0,1.0,1.0,40.70254,-73.92803,3.0,1.0,1.0,120.0,2.0,1125.0,86.0,4.0,98.0,0.0,1.85,6.0,147.0,7.0,4.0,29.0,2145.0,1395.0,15.0,40.0,1.0,1
21440,1.0,1.0,1.0,1.0,0.0,40.711729999999996,-73.99025,2.0,1.0,1.0,75.0,1.0,90.0,24.0,0.0,99.0,0.0,1.02,7.0,85.0,51.0,6.0,18.0,1725.0,706.0,131.0,37.5,0.0,1
20900,1.0,0.0,0.0,1.0,1.0,40.88247,-73.90576999999999,1.0,1.0,1.0,60.0,30.0,1125.0,1.0,0.0,100.0,0.0,0.04,9.0,128.0,20.0,4.0,35.0,1425.0,832.0,832.0,60.0,0.0,1
23736,0.99,0.97,0.0,5.0,1.0,40.7244,-74.00794,2.0,1.0,1.0,125.0,1.0,28.0,71.0,1.0,90.0,1.0,7.4,4.0,154.0,140.0,3.0,25.0,653.0,287.0,24.0,62.5,1.0,1
24805,0.43,0.94,0.0,0.0,1.0,40.74443,-73.9922,2.0,1.0,0.0,109.0,1.0,28.0,40.0,1.0,80.0,1.0,2.61,4.0,138.0,70.0,2.0,18.0,630.0,459.0,20.0,54.5,1.0,1
13968,0.93,0.98,1.0,6.0,0.0,40.707679999999996,-73.94896999999999,4.0,2.0,3.0,76.0,30.0,1125.0,155.0,0.0,96.0,0.0,5.66,10.0,101.0,32.0,3.0,31.0,1903.0,820.0,35.0,19.0,1.0,1
2312,1.0,0.9,1.0,1.0,1.0,40.79002,-73.95008,2.0,1.0,1.0,149.0,5.0,1125.0,6.0,0.0,100.0,0.0,0.34,7.0,163.0,80.0,6.0,24.0,2744.0,522.0,68.0,74.5,0.0,1
34362,1.0,0.88,0.0,0.0,0.0,40.81223,-73.95186,3.0,1.0,0.0,95.0,3.0,25.0,1.0,0.0,100.0,0.0,0.86,6.0,158.0,46.0,3.0,16.0,2691.0,34.0,34.0,31.666666666666668,1.0,1
16324,0.0,0.86,1.0,2.0,1.0,40.70994,-73.94599000000001,2.0,1.0,1.0,99.0,3.0,1125.0,51.0,0.0,96.0,1.0,1.41,7.0,171.0,29.0,9.0,30.0,1639.0,1084.0,452.0,49.5,1.0,1
10301,0.96,0.92,1.0,125.0,0.0,40.755720000000004,-73.96936,3.0,1.2127280627838104,1.0,125.0,30.0,365.0,7.0,0.0,89.0,0.0,0.14,5.0,34.0,93.0,3.0,19.0,1800.0,1503.0,635.0,41.666666666666664,1.0,0
35162,1.0,0.94,1.0,4.0,1.0,40.752829999999996,-73.97081999999999,4.0,2.0,2.0,300.0,30.0,365.0,3.0,0.0,100.0,0.0,1.38,9.0,131.0,43.0,6.0,14.0,929.0,64.0,56.0,75.0,1.0,1
3279,0.89,0.99,0.0,42.0,1.0,40.73421,-73.98001,4.0,1.0,2.0,100.0,30.0,1125.0,2.0,0.0,30.0,0.0,0.03,4.0,156.0,15.0,4.0,25.0,3222.0,2314.0,2009.0,25.0,1.0,1
8914,1.0,1.0,1.0,1.0,1.0,40.67433,-73.9575,2.0,3.0,1.0,70.0,30.0,1125.0,133.0,0.0,95.0,1.0,2.15,2.0,132.0,53.0,6.0,23.0,2737.0,1858.0,401.0,35.0,1.0,1
20440,1.0,1.0,1.0,1.0,1.0,40.721,-73.79767,1.0,1.0,1.0,42.0,2.0,1125.0,60.0,1.0,98.0,1.0,2.13,8.0,166.0,166.0,6.0,47.0,874.0,846.0,17.0,42.0,1.0,1
490,1.0,0.75,0.0,1.0,1.0,40.75114,-74.00195,4.0,2.0,2.0,213.0,3.0,28.0,77.0,2.0,96.0,0.0,0.7,8.0,174.0,2.0,6.0,26.0,3371.0,3319.0,19.0,53.25,1.0,1
1396,1.0,1.0,0.0,4.0,1.0,40.80421,-73.94301999999999,2.0,0.9362307489462367,1.0,135.0,30.0,1125.0,194.0,0.0,94.0,0.0,2.12,7.0,147.0,24.0,4.0,33.0,2957.0,2741.0,159.0,67.5,1.0,0
18590,1.0,0.89,1.0,1.0,1.0,40.762190000000004,-73.98898,7.0,3.0,4.0,450.0,3.0,365.0,103.0,0.0,97.0,0.0,3.09,8.0,170.0,20.0,7.0,24.0,1189.0,998.0,89.0,64.28571428571429,1.0,1
23980,0.67,1.0,0.0,11.0,1.0,40.75643,-73.98647,2.0,1.0,1.0,138.0,1.0,1125.0,98.0,0.0,86.0,1.0,4.67,7.0,158.0,77.0,2.0,26.0,641.0,628.0,326.0,69.0,1.0,1
26450,0.94,0.9,0.0,3.0,1.0,40.67452,-73.89046,4.0,2.0,2.0,175.0,3.0,30.0,24.0,0.0,96.0,0.0,1.39,8.0,115.0,30.0,8.0,30.0,1506.0,517.0,34.0,43.75,0.0,1
27453,1.0,1.0,0.0,4.0,1.0,40.7984,-73.96141,1.0,1.0,1.0,58.0,30.0,1125.0,1.0,0.0,100.0,1.0,0.11,6.0,165.0,76.0,6.0,25.0,476.0,262.0,262.0,58.0,1.0,1
10807,1.0,0.86,0.0,1.0,0.0,40.74139,-73.98368,2.0,1.0,1.0,100.0,30.0,1125.0,5.0,0.0,100.0,0.0,0.1,7.0,160.0,20.0,3.0,17.0,1929.0,1531.0,980.0,50.0,1.0,1
29405,0.94,0.55,0.0,2.0,1.0,40.71476,-73.96423,16.0,1.0,2.0,418.0,1.0,1.0,9.0,1.0,82.0,0.0,1.1,4.0,180.0,5.0,6.0,14.0,538.0,245.0,19.0,26.125,1.0,1
1256,1.0,0.43,0.0,2.0,0.0,40.7106,-73.96531999999999,1.0,1.0,1.0,69.0,30.0,200.0,39.0,0.0,96.0,0.0,0.47,8.0,173.0,16.0,7.0,15.0,3137.0,2488.0,424.0,69.0,0.0,1
1035,0.0,0.0,0.0,0.0,1.0,40.70585,-74.00973,2.0,1.0,1.0,150.0,30.0,1125.0,22.0,0.0,100.0,0.0,0.22,3.0,113.0,62.0,5.0,13.0,3056.0,2957.0,1908.0,75.0,0.0,1
13470,1.0,1.0,1.0,2.0,1.0,40.74073,-73.92374000000001,2.0,1.0,1.0,60.0,30.0,125.0,10.0,0.0,100.0,0.0,0.21,5.0,170.0,84.0,6.0,15.0,2509.0,1399.0,59.0,30.0,1.0,1
24846,1.0,0.95,0.0,6.0,1.0,40.71566,-73.99565,2.0,1.0,1.0,145.0,1.0,1125.0,110.0,0.0,90.0,1.0,6.16,3.0,98.0,52.0,2.0,2.0,615.0,535.0,76.0,72.5,0.0,1
32275,1.0,0.99,0.0,49.0,1.0,40.74643,-73.98695,4.0,1.0,2.0,34.0,1.0,365.0,2.0,0.0,70.0,1.0,0.32,5.0,157.0,141.0,2.0,10.0,1579.0,188.0,150.0,8.5,0.0,1
18282,1.0,0.25,0.0,1.0,1.0,40.611740000000005,-73.95694,1.0,1.0,1.0,39.0,1.0,5.0,4.0,0.0,100.0,0.0,0.12,6.0,18.0,7.0,4.0,16.0,1720.0,990.0,775.0,39.0,0.0,1
22817,1.0,0.82,0.0,177.0,1.0,40.74765,-73.91971,2.0,1.0,2.0,32.0,30.0,1125.0,5.0,1.0,96.0,0.0,0.23,8.0,158.0,622.0,7.0,23.0,1320.0,656.0,6.0,16.0,1.0,1
23230,1.0,0.46,0.0,4.0,1.0,40.68538,-73.76795,2.0,1.0,1.0,49.0,5.0,30.0,20.0,0.0,88.0,0.0,0.87,8.0,74.0,10.0,6.0,25.0,2155.0,691.0,481.0,24.5,0.0,1
33492,1.0,0.93,1.0,1.0,1.0,40.72896,-73.95539000000001,6.0,4.0,4.0,531.0,5.0,1125.0,2.0,1.0,100.0,0.0,0.88,5.0,146.0,71.0,5.0,42.0,2642.0,67.0,20.0,88.5,1.0,1
5309,1.0,0.33,0.0,1.0,1.0,40.734809999999996,-73.98669,4.0,1.0,1.0,75.0,30.0,1125.0,8.0,0.0,95.0,0.0,0.12,5.0,174.0,15.0,5.0,12.0,2980.0,2084.0,1478.0,18.75,0.0,1
17877,1.0,0.8,0.0,2.0,1.0,40.80057,-73.96085,2.0,1.0,1.0,100.0,1.0,150.0,66.0,0.0,95.0,0.0,1.87,7.0,73.0,15.0,7.0,28.0,1068.0,1056.0,349.0,50.0,1.0,1
31486,1.0,0.56,0.0,1.0,1.0,40.72102,-73.99954,5.0,2.0,2.0,245.0,4.0,1125.0,14.0,0.0,96.0,0.0,1.73,4.0,28.0,21.0,4.0,21.0,2224.0,242.0,61.0,49.0,1.0,1
14750,1.0,0.87,0.0,14.0,1.0,40.75683,-73.80790999999999,8.0,3.0,6.0,116.0,30.0,1125.0,44.0,0.0,93.0,1.0,1.06,8.0,149.0,3.0,8.0,43.0,1318.0,1250.0,107.0,14.5,1.0,1
6466,1.0,0.98,1.0,2.0,1.0,40.635740000000006,-74.00329,1.0,1.0,1.0,23.0,30.0,1125.0,91.0,0.0,99.0,0.0,1.36,1.0,186.0,35.0,7.0,19.0,2016.0,2011.0,111.0,23.0,1.0,1
20359,1.0,0.91,1.0,3.0,1.0,40.71839,-73.96203,2.0,1.0,2.0,95.0,4.0,30.0,39.0,1.0,96.0,1.0,1.37,5.0,137.0,20.0,6.0,34.0,1760.0,852.0,29.0,47.5,1.0,1
1448,1.0,1.0,1.0,0.0,1.0,40.74398,-73.99624,6.0,2.0,2.0,401.0,6.0,365.0,131.0,0.0,98.0,0.0,1.38,5.0,158.0,39.0,4.0,55.0,3049.0,2852.0,400.0,66.83333333333333,1.0,1
25882,0.5,1.0,0.0,1.0,1.0,40.6922,-73.99965,2.0,1.0855020301683247,1.0,90.0,30.0,30.0,7.0,0.0,87.0,0.0,0.41,4.0,79.0,40.0,5.0,13.0,2256.0,512.0,343.0,45.0,0.0,0
26587,1.0,0.65,0.0,1.0,1.0,40.61246,-73.918,2.0,1.0,1.0,65.0,1.0,1125.0,1.0,0.0,100.0,0.0,0.06,7.0,166.0,70.0,7.0,19.0,1256.0,493.0,493.0,32.5,1.0,1
29997,1.0,0.89,0.0,4.0,1.0,40.671040000000005,-73.88767,2.0,1.0,2.0,33.0,2.0,14.0,2.0,1.0,100.0,0.0,0.19,2.0,101.0,32.0,4.0,23.0,1821.0,321.0,13.0,16.5,0.0,1
19780,1.0,0.9,0.0,3.0,1.0,40.673840000000006,-73.79536,2.0,1.0,1.0,50.0,3.0,29.0,124.0,2.0,91.0,0.0,4.49,8.0,173.0,56.0,7.0,31.0,920.0,827.0,8.0,25.0,1.0,1
35046,0.4,0.96,0.0,0.0,0.0,40.68181,-73.92983000000001,4.0,2.0,2.0,120.0,2.0,1125.0,1.0,0.0,100.0,1.0,0.63,10.0,81.0,36.0,2.0,18.0,141.0,47.0,47.0,30.0,1.0,1
14548,1.0,0.97,0.0,6.0,0.0,40.81354,-73.88858,2.0,1.0,1.0,40.0,30.0,45.0,11.0,1.0,95.0,1.0,0.34,7.0,173.0,62.0,3.0,24.0,2111.0,982.0,13.0,20.0,1.0,1
31724,1.0,0.97,1.0,2.0,1.0,40.57974,-73.96257,2.0,1.0,0.0,69.0,1.0,28.0,23.0,1.0,100.0,0.0,3.18,8.0,77.0,19.0,7.0,23.0,1278.0,216.0,28.0,34.5,1.0,1
8790,1.0,0.76,0.0,14.0,1.0,40.72919,-73.94511999999999,3.0,1.4207029286728314,2.0,157.0,3.0,1125.0,33.0,0.0,98.0,0.0,0.53,5.0,151.0,17.0,6.0,24.0,1928.0,1865.0,355.0,52.333333333333336,1.0,0
18858,1.0,1.0,0.0,1.0,1.0,40.71474,-73.93921999999999,8.0,4.0,5.0,400.0,3.0,90.0,39.0,0.0,98.0,0.0,1.22,6.0,118.0,105.0,7.0,33.0,980.0,957.0,195.0,50.0,1.0,1
18322,1.0,0.92,1.0,6.0,1.0,40.59697,-74.08324,1.0,1.0,1.0,33.0,7.0,28.0,8.0,0.0,93.0,0.0,0.24,9.0,158.0,27.0,7.0,30.0,1537.0,1016.0,186.0,33.0,0.0,1
1162,1.0,0.77,0.0,3.0,1.0,40.6797,-73.95567,6.0,4.0,4.0,218.0,7.0,200.0,17.0,0.0,94.0,0.0,0.27,4.0,156.0,103.0,7.0,35.0,3000.0,1861.0,154.0,36.333333333333336,1.0,1
23223,1.0,1.0,1.0,2.0,1.0,40.68254,-73.92107,4.0,1.0,2.0,106.0,3.0,20.0,78.0,6.0,98.0,0.0,3.49,7.0,160.0,112.0,7.0,33.0,2774.0,669.0,7.0,26.5,1.0,1
26496,1.0,0.94,0.0,1318.0,1.0,40.708529999999996,-74.01475,2.0,0.7491880063675112,0.0,159.0,30.0,1125.0,3.0,0.0,100.0,1.0,0.47,11.0,154.0,184.0,6.0,28.0,1923.0,191.0,55.0,79.5,1.0,0
12536,1.0,0.84,0.0,21.0,1.0,40.83443,-73.93883000000001,2.0,1.0324098614533952,1.0,56.0,60.0,730.0,6.0,0.0,80.0,0.0,0.17,7.0,107.0,77.0,4.0,27.0,2776.0,1064.0,244.0,28.0,1.0,0
4628,1.0,0.33,1.0,2.0,1.0,40.68093,-73.97182,2.0,1.0,1.0,135.0,30.0,1125.0,80.0,0.0,99.0,0.0,1.11,7.0,163.0,99.0,6.0,23.0,3400.0,2169.0,416.0,67.5,1.0,1
14490,0.8,0.96,0.0,3.0,1.0,40.6877,-73.86669,2.0,1.0,1.0,39.0,7.0,28.0,42.0,0.0,94.0,0.0,0.96,7.0,167.0,84.0,6.0,25.0,1816.0,1317.0,63.0,19.5,1.0,1
19268,1.0,1.0,0.0,1.0,1.0,40.71237,-73.95832,2.0,1.0,1.0,52.0,2.0,14.0,5.0,1.0,96.0,1.0,0.24,7.0,85.0,14.0,6.0,15.0,2809.0,616.0,26.0,26.0,0.0,1
30825,1.0,0.89,0.0,1.0,1.0,40.694340000000004,-73.95058,2.0,1.0,1.0,66.0,30.0,40.0,2.0,0.0,100.0,1.0,0.21,5.0,57.0,47.0,7.0,34.0,1810.0,280.0,205.0,33.0,1.0,1
17759,1.0,0.9,1.0,7.0,1.0,40.76417,-73.96743000000001,3.0,2.0,2.0,102.0,30.0,180.0,2.0,0.0,100.0,0.0,0.07,9.0,166.0,211.0,7.0,31.0,1838.0,905.0,487.0,34.0,1.0,1
32009,0.96,1.0,0.0,6.0,1.0,40.80442,-73.96346,2.0,1.0,1.0,49.0,1.0,365.0,3.0,1.0,80.0,1.0,0.52,9.0,132.0,12.0,6.0,20.0,219.0,172.0,25.0,24.5,1.0,1
27639,0.86,0.34,0.0,1.0,1.0,40.677440000000004,-73.95493,2.0,1.0,1.0,35.0,30.0,31.0,14.0,0.0,95.0,0.0,0.95,6.0,49.0,6.0,6.0,16.0,467.0,442.0,43.0,17.5,1.0,1
19099,1.0,0.95,0.0,26.0,1.0,40.75398,-73.99633,2.0,1.0,1.0,99.0,30.0,500.0,7.0,0.0,66.0,1.0,0.25,9.0,161.0,153.0,7.0,13.0,991.0,851.0,532.0,49.5,0.0,1
18800,1.0,0.86,0.0,3.0,0.0,40.71155,-73.943,2.0,1.0,1.0,95.0,5.0,1125.0,46.0,0.0,94.0,0.0,1.42,7.0,136.0,95.0,6.0,24.0,3262.0,971.0,331.0,47.5,1.0,1
35437,1.0,0.99,0.0,49.0,1.0,40.7468,-73.98836999999999,6.0,1.0,3.0,63.0,1.0,365.0,4.0,0.0,75.0,1.0,2.5,5.0,156.0,141.0,2.0,2.0,1579.0,47.0,40.0,10.5,0.0,1
24246,1.0,1.0,1.0,3.0,1.0,40.68857,-73.93835,2.0,1.0,1.0,65.0,30.0,1125.0,6.0,0.0,97.0,1.0,0.29,9.0,175.0,180.0,6.0,22.0,2730.0,629.0,356.0,32.5,1.0,1
